,num_samples,-elbo
0,19803,60703.874673956016
1,116338,23.10656427043854
2,222416,17.611783459101137
3,255697,16.227790358858257
4,295771,15.653300609486246
5,343418,14.527555079875512
6,398872,14.328973471111688
7,457150,13.958276189648828
8,519200,13.544722301721215
9,584292,13.59832760180047
10,650925,13.225403434523306
11,722679,13.207499433260752
12,794703,12.962180796954291
13,871680,12.837622164319734
14,954690,12.781975682528078
15,1041581,12.637427408665653
16,1136799,12.638580403509835
17,1238532,12.661789839341495
18,1345976,12.565033172039065
19,1456005,12.656529804525016
20,1576066,12.541849859153688
21,1700291,12.495328152102596
22,1833879,12.471981794628414
23,1981803,12.422759307235033
24,2132414,12.37336585490219
25,2296978,12.348347200957468
26,2474422,12.300604612856258
27,2652744,12.244931389809143
28,2837833,12.36489032461061
29,3020883,12.293094137950419
30,3222006,12.239770305093916
31,3459898,12.183285988763789
32,3757641,12.18653596018099
33,4114539,12.13187213067382
34,4514492,12.183584680687913
35,4946606,12.102884655027614
