,iter,elbo,num_samples,-elbo
0,10,-679.249055,2000,679.249055
1,20,-678.518155,4000,678.518155
2,30,-676.120301,6000,676.120301
3,40,-674.801098,8000,674.801098
4,50,-673.508992,10000,673.508992
5,60,-672.051335,12000,672.051335
6,70,-669.861087,14000,669.861087
7,80,-667.832435,16000,667.832435
8,90,-666.337838,18000,666.337838
9,100,-664.267668,20000,664.267668
10,110,-663.40706,22000,663.40706
11,120,-662.285599,24000,662.285599
12,130,-660.380654,26000,660.380654
13,140,-658.71236,28000,658.71236
14,150,-657.596224,30000,657.596224
15,160,-656.212776,32000,656.212776
16,170,-654.038246,34000,654.038246
17,180,-652.314562,36000,652.314562
18,190,-651.280314,38000,651.280314
19,200,-649.649035,40000,649.649035
20,210,-646.96031,42000,646.96031
21,220,-646.111586,44000,646.111586
22,230,-644.679254,46000,644.679254
23,240,-643.079702,48000,643.079702
24,250,-641.108511,50000,641.108511
25,300,-632.94157,60000,632.94157
26,400,-616.74517,80000,616.74517
27,500,-599.061694,100000,599.061694
28,600,-582.555166,120000,582.555166
29,700,-562.972321,140000,562.972321
30,800,-544.363845,160000,544.363845
31,900,-520.804391,180000,520.804391
32,1000,-496.198088,200000,496.198088
33,1100,-473.815213,220000,473.815213
34,1200,-452.967633,240000,452.967633
35,1300,-432.198556,260000,432.198556
36,1400,-411.169023,280000,411.169023
37,1500,-388.42945,300000,388.42945
38,1600,-365.412028,320000,365.412028
39,1700,-344.514226,340000,344.514226
40,1800,-322.748455,360000,322.748455
41,1900,-301.107457,380000,301.107457
42,2000,-282.171956,400000,282.171956
43,2100,-263.341552,420000,263.341552
44,2200,-246.229972,440000,246.229972
45,2300,-229.619052,460000,229.619052
46,2400,-215.795685,480000,215.795685
47,2500,-201.726829,500000,201.726829
48,2600,-189.266304,520000,189.266304
49,2700,-176.26166,540000,176.26166
50,2800,-165.403096,560000,165.403096
51,2900,-155.673668,580000,155.673668
52,3000,-145.849013,600000,145.849013
53,3100,-136.679126,620000,136.679126
54,3200,-128.325794,640000,128.325794
55,3300,-120.694213,660000,120.694213
56,3400,-113.148055,680000,113.148055
57,3500,-107.287777,700000,107.287777
58,3600,-101.030368,720000,101.030368
59,3700,-95.34092,740000,95.34092
60,3800,-90.593318,760000,90.593318
61,3900,-86.033795,780000,86.033795
62,4000,-81.651545,800000,81.651545
63,4100,-77.339732,820000,77.339732
64,4200,-73.993593,840000,73.993593
65,4300,-70.487854,860000,70.487854
66,4400,-67.517003,880000,67.517003
67,4500,-64.474007,900000,64.474007
68,4600,-61.37588,920000,61.37588
69,4700,-59.202203,940000,59.202203
70,4800,-57.033959,960000,57.033959
71,4900,-54.88426,980000,54.88426
72,5000,-52.798615,1000000,52.798615
73,5100,-50.97065,1020000,50.97065
74,5200,-49.118032,1040000,49.118032
75,5300,-47.433154,1060000,47.433154
76,5400,-46.003597,1080000,46.003597
77,5500,-44.552122,1100000,44.552122
78,5600,-43.374504,1120000,43.374504
79,5700,-42.126714,1140000,42.126714
80,5800,-40.945706,1160000,40.945706
81,5900,-40.101559,1180000,40.101559
82,6000,-38.998509,1200000,38.998509
83,6100,-37.999023,1220000,37.999023
84,6200,-37.071462,1240000,37.071462
85,6300,-36.296827,1260000,36.296827
86,6400,-35.711675,1280000,35.711675
87,6500,-34.871879,1300000,34.871879
88,6600,-34.156186,1320000,34.156186
89,6700,-33.514244,1340000,33.514244
90,6800,-32.779038,1360000,32.779038
91,6900,-32.260339,1380000,32.260339
92,7000,-31.770931,1400000,31.770931
93,7100,-31.221472,1420000,31.221472
94,7200,-30.800684,1440000,30.800684
95,7300,-30.238041,1460000,30.238041
96,7400,-29.921683,1480000,29.921683
97,7500,-29.530071,1500000,29.530071
98,7600,-29.118176,1520000,29.118176
99,7700,-28.691173,1540000,28.691173
100,7800,-28.21287,1560000,28.21287
101,7900,-27.89637,1580000,27.89637
102,8000,-27.577008,1600000,27.577008
