,iter,elbo,num_samples,-elbo
0,10,-674.897724,2000,674.897724
1,20,-673.457877,4000,673.457877
2,30,-671.86171,6000,671.86171
3,40,-670.68955,8000,670.68955
4,50,-669.102719,10000,669.102719
5,60,-667.591207,12000,667.591207
6,70,-666.274515,14000,666.274515
7,80,-664.089821,16000,664.089821
8,90,-663.067331,18000,663.067331
9,100,-661.405722,20000,661.405722
10,110,-659.65211,22000,659.65211
11,120,-658.183788,24000,658.183788
12,130,-656.654272,26000,656.654272
13,140,-654.746848,28000,654.746848
14,150,-654.067962,30000,654.067962
15,160,-652.005306,32000,652.005306
16,170,-650.168303,34000,650.168303
17,180,-648.600827,36000,648.600827
18,190,-646.740381,38000,646.740381
19,200,-645.809256,40000,645.809256
20,210,-642.947231,42000,642.947231
21,220,-640.753637,44000,640.753637
22,230,-641.039009,46000,641.039009
23,240,-639.503021,48000,639.503021
24,250,-637.396202,50000,637.396202
25,300,-628.759358,60000,628.759358
26,400,-612.979229,80000,612.979229
27,500,-596.5283,100000,596.5283
28,600,-578.283337,120000,578.283337
29,700,-558.579581,140000,558.579581
30,800,-539.649589,160000,539.649589
31,900,-515.969951,180000,515.969951
32,1000,-490.956898,200000,490.956898
33,1100,-465.413372,220000,465.413372
34,1200,-444.440415,240000,444.440415
35,1300,-421.765985,260000,421.765985
36,1400,-401.051094,280000,401.051094
37,1500,-379.912206,300000,379.912206
38,1600,-357.879952,320000,357.879952
39,1700,-338.155745,340000,338.155745
40,1800,-315.869012,360000,315.869012
41,1900,-295.320174,380000,295.320174
42,2000,-276.133877,400000,276.133877
43,2100,-257.237983,420000,257.237983
44,2200,-239.97749,440000,239.97749
45,2300,-224.923389,460000,224.923389
46,2400,-209.791429,480000,209.791429
47,2500,-197.049755,500000,197.049755
48,2600,-183.525723,520000,183.525723
49,2700,-172.209003,540000,172.209003
50,2800,-161.199146,560000,161.199146
51,2900,-151.022682,580000,151.022682
52,3000,-141.676476,600000,141.676476
53,3100,-132.959133,620000,132.959133
54,3200,-124.582129,640000,124.582129
55,3300,-117.612107,660000,117.612107
56,3400,-110.9205,680000,110.9205
57,3500,-104.429098,700000,104.429098
58,3600,-98.844316,720000,98.844316
59,3700,-93.452387,740000,93.452387
60,3800,-88.773549,760000,88.773549
61,3900,-83.543297,780000,83.543297
62,4000,-79.484933,800000,79.484933
63,4100,-75.847608,820000,75.847608
64,4200,-72.117772,840000,72.117772
65,4300,-68.943758,860000,68.943758
66,4400,-65.877276,880000,65.877276
67,4500,-62.759826,900000,62.759826
68,4600,-60.220747,920000,60.220747
69,4700,-57.650074,940000,57.650074
70,4800,-55.577184,960000,55.577184
71,4900,-53.390967,980000,53.390967
72,5000,-51.234559,1000000,51.234559
73,5100,-49.609614,1020000,49.609614
74,5200,-47.857641,1040000,47.857641
75,5300,-46.292207,1060000,46.292207
76,5400,-44.882418,1080000,44.882418
77,5500,-43.627402,1100000,43.627402
78,5600,-42.405991,1120000,42.405991
79,5700,-41.064827,1140000,41.064827
80,5800,-39.951849,1160000,39.951849
81,5900,-39.044047,1180000,39.044047
82,6000,-38.002807,1200000,38.002807
83,6100,-37.040479,1220000,37.040479
84,6200,-36.238678,1240000,36.238678
85,6300,-35.537344,1260000,35.537344
86,6400,-34.672916,1280000,34.672916
87,6500,-34.274711,1300000,34.274711
88,6600,-33.370698,1320000,33.370698
89,6700,-32.805225,1340000,32.805225
90,6800,-32.181041,1360000,32.181041
91,6900,-31.599778,1380000,31.599778
92,7000,-31.180484,1400000,31.180484
93,7100,-30.530794,1420000,30.530794
94,7200,-30.04433,1440000,30.04433
95,7300,-29.617496,1460000,29.617496
96,7400,-29.251009,1480000,29.251009
97,7500,-28.9026,1500000,28.9026
98,7600,-28.485916,1520000,28.485916
99,7700,-28.199614,1540000,28.199614
100,7800,-27.823025,1560000,27.823025
101,7900,-27.506106,1580000,27.506106
102,8000,-27.160576,1600000,27.160576
