,iter,elbo,num_samples,-elbo
0,10,-677.77624,2000,677.77624
1,20,-676.061925,4000,676.061925
2,30,-674.392243,6000,674.392243
3,40,-673.569641,8000,673.569641
4,50,-671.353599,10000,671.353599
5,60,-670.963679,12000,670.963679
6,70,-668.280645,14000,668.280645
7,80,-666.936058,16000,666.936058
8,90,-665.545241,18000,665.545241
9,100,-663.657852,20000,663.657852
10,110,-662.541966,22000,662.541966
11,120,-660.873066,24000,660.873066
12,130,-659.261722,26000,659.261722
13,140,-656.87805,28000,656.87805
14,150,-656.063963,30000,656.063963
15,160,-654.146554,32000,654.146554
16,170,-653.261971,34000,653.261971
17,180,-650.767946,36000,650.767946
18,190,-649.325611,38000,649.325611
19,200,-647.900531,40000,647.900531
20,210,-645.612513,42000,645.612513
21,220,-645.063162,44000,645.063162
22,230,-642.213593,46000,642.213593
23,240,-641.047345,48000,641.047345
24,250,-639.655815,50000,639.655815
25,300,-631.7381,60000,631.7381
26,400,-615.40091,80000,615.40091
27,500,-598.468902,100000,598.468902
28,600,-580.848495,120000,580.848495
29,700,-562.337854,140000,562.337854
30,800,-541.686501,160000,541.686501
31,900,-517.808965,180000,517.808965
32,1000,-492.344391,200000,492.344391
33,1100,-467.936584,220000,467.936584
34,1200,-445.279558,240000,445.279558
35,1300,-423.601535,260000,423.601535
36,1400,-401.875465,280000,401.875465
37,1500,-380.775123,300000,380.775123
38,1600,-358.884371,320000,358.884371
39,1700,-339.223002,340000,339.223002
40,1800,-318.950616,360000,318.950616
41,1900,-298.772913,380000,298.772913
42,2000,-280.292837,400000,280.292837
43,2100,-262.308855,420000,262.308855
44,2200,-245.343885,440000,245.343885
45,2300,-229.161544,460000,229.161544
46,2400,-213.68063,480000,213.68063
47,2500,-200.087069,500000,200.087069
48,2600,-186.34643,520000,186.34643
49,2700,-175.355139,540000,175.355139
50,2800,-163.909815,560000,163.909815
51,2900,-153.584205,580000,153.584205
52,3000,-143.591671,600000,143.591671
53,3100,-134.880802,620000,134.880802
54,3200,-126.247679,640000,126.247679
55,3300,-119.808807,660000,119.808807
56,3400,-111.739282,680000,111.739282
57,3500,-105.531363,700000,105.531363
58,3600,-99.037551,720000,99.037551
59,3700,-94.097678,740000,94.097678
60,3800,-88.763568,760000,88.763568
61,3900,-84.192322,780000,84.192322
62,4000,-79.738335,800000,79.738335
63,4100,-75.951735,820000,75.951735
64,4200,-72.34164,840000,72.34164
65,4300,-69.183661,860000,69.183661
66,4400,-65.860175,880000,65.860175
67,4500,-62.949968,900000,62.949968
68,4600,-60.123627,920000,60.123627
69,4700,-57.948006,940000,57.948006
70,4800,-55.435074,960000,55.435074
71,4900,-53.216961,980000,53.216961
72,5000,-51.523921,1000000,51.523921
73,5100,-49.607886,1020000,49.607886
74,5200,-47.657878,1040000,47.657878
75,5300,-46.191315,1060000,46.191315
76,5400,-44.732984,1080000,44.732984
77,5500,-43.413131,1100000,43.413131
78,5600,-42.173668,1120000,42.173668
79,5700,-41.046989,1140000,41.046989
80,5800,-39.99289,1160000,39.99289
81,5900,-38.644507,1180000,38.644507
82,6000,-37.952709,1200000,37.952709
83,6100,-36.894808,1220000,36.894808
84,6200,-36.149355,1240000,36.149355
85,6300,-35.427781,1260000,35.427781
86,6400,-34.57314,1280000,34.57314
87,6500,-33.759674,1300000,33.759674
88,6600,-33.087037,1320000,33.087037
89,6700,-32.543409,1340000,32.543409
90,6800,-32.276618,1360000,32.276618
91,6900,-31.406237,1380000,31.406237
92,7000,-30.933789,1400000,30.933789
93,7100,-30.395106,1420000,30.395106
94,7200,-29.917688,1440000,29.917688
95,7300,-29.400959,1460000,29.400959
96,7400,-29.094731,1480000,29.094731
97,7500,-28.704124,1500000,28.704124
98,7600,-28.366551,1520000,28.366551
99,7700,-28.058284,1540000,28.058284
100,7800,-27.655203,1560000,27.655203
101,7900,-27.26835,1580000,27.26835
102,8000,-27.125664,1600000,27.125664
