,iter,elbo,num_samples,-elbo
0,10,-677.132072,2000,677.132072
1,20,-675.932468,4000,675.932468
2,30,-674.185682,6000,674.185682
3,40,-673.116824,8000,673.116824
4,50,-670.893016,10000,670.893016
5,60,-668.819463,12000,668.819463
6,70,-667.98197,14000,667.98197
7,80,-666.111439,16000,666.111439
8,90,-664.136229,18000,664.136229
9,100,-663.088974,20000,663.088974
10,110,-661.402384,22000,661.402384
11,120,-660.003407,24000,660.003407
12,130,-658.409116,26000,658.409116
13,140,-656.967483,28000,656.967483
14,150,-655.160031,30000,655.160031
15,160,-653.276402,32000,653.276402
16,170,-652.12492,34000,652.12492
17,180,-649.566301,36000,649.566301
18,190,-648.316959,38000,648.316959
19,200,-647.621137,40000,647.621137
20,210,-645.276808,42000,645.276808
21,220,-643.048555,44000,643.048555
22,230,-642.491012,46000,642.491012
23,240,-640.650951,48000,640.650951
24,250,-639.400384,50000,639.400384
25,300,-631.157604,60000,631.157604
26,400,-614.840764,80000,614.840764
27,500,-598.115451,100000,598.115451
28,600,-580.641415,120000,580.641415
29,700,-562.541723,140000,562.541723
30,800,-543.990663,160000,543.990663
31,900,-524.022608,180000,524.022608
32,1000,-501.014394,200000,501.014394
33,1100,-480.197744,220000,480.197744
34,1200,-458.545466,240000,458.545466
35,1300,-436.548196,260000,436.548196
36,1400,-415.237856,280000,415.237856
37,1500,-392.102911,300000,392.102911
38,1600,-371.921737,320000,371.921737
39,1700,-349.502114,340000,349.502114
40,1800,-328.156178,360000,328.156178
41,1900,-306.339501,380000,306.339501
42,2000,-286.012697,400000,286.012697
43,2100,-268.350235,420000,268.350235
44,2200,-250.764714,440000,250.764714
45,2300,-233.288632,460000,233.288632
46,2400,-217.549671,480000,217.549671
47,2500,-203.028286,500000,203.028286
48,2600,-190.428888,520000,190.428888
49,2700,-178.997224,540000,178.997224
50,2800,-167.649979,560000,167.649979
51,2900,-158.09448,580000,158.09448
52,3000,-147.217606,600000,147.217606
53,3100,-137.849977,620000,137.849977
54,3200,-129.431803,640000,129.431803
55,3300,-121.737716,660000,121.737716
56,3400,-115.202979,680000,115.202979
57,3500,-108.46457,700000,108.46457
58,3600,-102.07883,720000,102.07883
59,3700,-96.650655,740000,96.650655
60,3800,-91.228425,760000,91.228425
61,3900,-86.609344,780000,86.609344
62,4000,-82.067655,800000,82.067655
63,4100,-78.297167,820000,78.297167
64,4200,-74.672123,840000,74.672123
65,4300,-70.618932,860000,70.618932
66,4400,-67.646075,880000,67.646075
67,4500,-64.507014,900000,64.507014
68,4600,-61.816872,920000,61.816872
69,4700,-59.221561,940000,59.221561
70,4800,-56.980894,960000,56.980894
71,4900,-54.973856,980000,54.973856
72,5000,-52.652924,1000000,52.652924
73,5100,-50.894347,1020000,50.894347
74,5200,-49.222108,1040000,49.222108
75,5300,-47.592206,1060000,47.592206
76,5400,-45.797389,1080000,45.797389
77,5500,-44.479968,1100000,44.479968
78,5600,-43.010002,1120000,43.010002
79,5700,-41.81989,1140000,41.81989
80,5800,-40.719718,1160000,40.719718
81,5900,-39.746312,1180000,39.746312
82,6000,-38.85503,1200000,38.85503
83,6100,-37.749968,1220000,37.749968
84,6200,-36.838904,1240000,36.838904
85,6300,-36.053574,1260000,36.053574
86,6400,-35.201105,1280000,35.201105
87,6500,-34.813347,1300000,34.813347
88,6600,-33.973797,1320000,33.973797
89,6700,-33.305657,1340000,33.305657
90,6800,-32.75843,1360000,32.75843
91,6900,-32.110151,1380000,32.110151
92,7000,-31.448485,1400000,31.448485
93,7100,-31.07418,1420000,31.07418
94,7200,-30.582151,1440000,30.582151
95,7300,-30.085684,1460000,30.085684
96,7400,-29.651226,1480000,29.651226
97,7500,-29.172169,1500000,29.172169
98,7600,-28.804225,1520000,28.804225
99,7700,-28.424285,1540000,28.424285
100,7800,-28.023545,1560000,28.023545
101,7900,-27.802035,1580000,27.802035
102,8000,-27.46762,1600000,27.46762
