,iter,elbo,num_samples,-elbo
0,10,-676.856465,2000,676.856465
1,20,-675.552215,4000,675.552215
2,30,-674.87485,6000,674.87485
3,40,-673.057442,8000,673.057442
4,50,-671.016653,10000,671.016653
5,60,-668.954206,12000,668.954206
6,70,-668.027881,14000,668.027881
7,80,-666.842182,16000,666.842182
8,90,-663.764823,18000,663.764823
9,100,-663.257359,20000,663.257359
10,110,-662.436057,22000,662.436057
11,120,-659.9954,24000,659.9954
12,130,-658.306337,26000,658.306337
13,140,-657.0522,28000,657.0522
14,150,-655.710615,30000,655.710615
15,160,-653.391136,32000,653.391136
16,170,-652.313856,34000,652.313856
17,180,-651.404195,36000,651.404195
18,190,-649.234899,38000,649.234899
19,200,-647.859774,40000,647.859774
20,210,-645.485797,42000,645.485797
21,220,-644.436968,44000,644.436968
22,230,-642.954867,46000,642.954867
23,240,-640.820981,48000,640.820981
24,250,-640.261629,50000,640.261629
25,300,-631.352132,60000,631.352132
26,400,-614.620479,80000,614.620479
27,500,-598.427977,100000,598.427977
28,600,-580.544119,120000,580.544119
29,700,-563.315982,140000,563.315982
30,800,-545.077355,160000,545.077355
31,900,-523.4054,180000,523.4054
32,1000,-501.025242,200000,501.025242
33,1100,-479.079099,220000,479.079099
34,1200,-457.899465,240000,457.899465
35,1300,-437.188453,260000,437.188453
36,1400,-416.499259,280000,416.499259
37,1500,-395.035051,300000,395.035051
38,1600,-373.45156,320000,373.45156
39,1700,-351.230111,340000,351.230111
40,1800,-330.057037,360000,330.057037
41,1900,-310.212298,380000,310.212298
42,2000,-289.688864,400000,289.688864
43,2100,-270.282061,420000,270.282061
44,2200,-252.712492,440000,252.712492
45,2300,-236.555829,460000,236.555829
46,2400,-220.940236,480000,220.940236
47,2500,-207.440973,500000,207.440973
48,2600,-193.588866,520000,193.588866
49,2700,-181.069464,540000,181.069464
50,2800,-169.205107,560000,169.205107
51,2900,-158.260529,580000,158.260529
52,3000,-149.432144,600000,149.432144
53,3100,-139.185871,620000,139.185871
54,3200,-131.216529,640000,131.216529
55,3300,-123.145869,660000,123.145869
56,3400,-116.084645,680000,116.084645
57,3500,-109.228315,700000,109.228315
58,3600,-103.186464,720000,103.186464
59,3700,-97.462855,740000,97.462855
60,3800,-92.790514,760000,92.790514
61,3900,-87.94293,780000,87.94293
62,4000,-83.259359,800000,83.259359
63,4100,-79.039324,820000,79.039324
64,4200,-75.349976,840000,75.349976
65,4300,-71.91879,860000,71.91879
66,4400,-68.552542,880000,68.552542
67,4500,-65.661211,900000,65.661211
68,4600,-63.092141,920000,63.092141
69,4700,-60.331882,940000,60.331882
70,4800,-57.922805,960000,57.922805
71,4900,-55.938223,980000,55.938223
72,5000,-53.446439,1000000,53.446439
73,5100,-51.633388,1020000,51.633388
74,5200,-49.977736,1040000,49.977736
75,5300,-48.18138,1060000,48.18138
76,5400,-46.750351,1080000,46.750351
77,5500,-45.260134,1100000,45.260134
78,5600,-43.948663,1120000,43.948663
79,5700,-42.873775,1140000,42.873775
80,5800,-41.708348,1160000,41.708348
81,5900,-40.673087,1180000,40.673087
82,6000,-39.635134,1200000,39.635134
83,6100,-38.767428,1220000,38.767428
84,6200,-37.892047,1240000,37.892047
85,6300,-36.917489,1260000,36.917489
86,6400,-36.168838,1280000,36.168838
87,6500,-35.346842,1300000,35.346842
88,6600,-34.563357,1320000,34.563357
89,6700,-33.959501,1340000,33.959501
90,6800,-33.547569,1360000,33.547569
91,6900,-32.734326,1380000,32.734326
92,7000,-32.236458,1400000,32.236458
93,7100,-31.718499,1420000,31.718499
94,7200,-31.213443,1440000,31.213443
95,7300,-30.807805,1460000,30.807805
96,7400,-30.121582,1480000,30.121582
97,7500,-29.815677,1500000,29.815677
98,7600,-29.415529,1520000,29.415529
99,7700,-29.014281,1540000,29.014281
100,7800,-28.672253,1560000,28.672253
101,7900,-28.365313,1580000,28.365313
102,8000,-28.037335,1600000,28.037335
