,iter,elbo,num_samples,-elbo
0,10,-680.049317,2000,680.049317
1,20,-677.965125,4000,677.965125
2,30,-677.311171,6000,677.311171
3,40,-675.334302,8000,675.334302
4,50,-673.608567,10000,673.608567
5,60,-672.632177,12000,672.632177
6,70,-671.452026,14000,671.452026
7,80,-670.045681,16000,670.045681
8,90,-667.683722,18000,667.683722
9,100,-665.957537,20000,665.957537
10,110,-664.038589,22000,664.038589
11,120,-662.447736,24000,662.447736
12,130,-662.106108,26000,662.106108
13,140,-658.916342,28000,658.916342
14,150,-658.032377,30000,658.032377
15,160,-656.700785,32000,656.700785
16,170,-654.660671,34000,654.660671
17,180,-653.390089,36000,653.390089
18,190,-651.425236,38000,651.425236
19,200,-649.929602,40000,649.929602
20,210,-649.413718,42000,649.413718
21,220,-647.223474,44000,647.223474
22,230,-646.149617,46000,646.149617
23,240,-643.46971,48000,643.46971
24,250,-642.555123,50000,642.555123
25,300,-633.450719,60000,633.450719
26,400,-617.389409,80000,617.389409
27,500,-600.844782,100000,600.844782
28,600,-583.533624,120000,583.533624
29,700,-565.450234,140000,565.450234
30,800,-545.948346,160000,545.948346
31,900,-522.869296,180000,522.869296
32,1000,-500.427365,200000,500.427365
33,1100,-478.522614,220000,478.522614
34,1200,-456.346127,240000,456.346127
35,1300,-434.435932,260000,434.435932
36,1400,-410.368991,280000,410.368991
37,1500,-388.855749,300000,388.855749
38,1600,-366.84825,320000,366.84825
39,1700,-345.805691,340000,345.805691
40,1800,-325.24967,360000,325.24967
41,1900,-303.340091,380000,303.340091
42,2000,-284.218507,400000,284.218507
43,2100,-266.881898,420000,266.881898
44,2200,-248.560112,440000,248.560112
45,2300,-232.901745,460000,232.901745
46,2400,-217.338491,480000,217.338491
47,2500,-202.568157,500000,202.568157
48,2600,-190.505518,520000,190.505518
49,2700,-178.018792,540000,178.018792
50,2800,-165.731226,560000,165.731226
51,2900,-154.987206,580000,154.987206
52,3000,-145.507203,600000,145.507203
53,3100,-135.788052,620000,135.788052
54,3200,-128.139759,640000,128.139759
55,3300,-119.892395,660000,119.892395
56,3400,-112.778689,680000,112.778689
57,3500,-106.628266,700000,106.628266
58,3600,-100.694922,720000,100.694922
59,3700,-95.563036,740000,95.563036
60,3800,-89.756059,760000,89.756059
61,3900,-85.502944,780000,85.502944
62,4000,-80.704545,800000,80.704545
63,4100,-76.969169,820000,76.969169
64,4200,-73.762366,840000,73.762366
65,4300,-69.871272,860000,69.871272
66,4400,-66.724783,880000,66.724783
67,4500,-63.689368,900000,63.689368
68,4600,-61.217905,920000,61.217905
69,4700,-58.88608,940000,58.88608
70,4800,-56.404069,960000,56.404069
71,4900,-54.075132,980000,54.075132
72,5000,-52.260457,1000000,52.260457
73,5100,-50.705588,1020000,50.705588
74,5200,-48.648289,1040000,48.648289
75,5300,-47.128852,1060000,47.128852
76,5400,-45.702987,1080000,45.702987
77,5500,-44.368823,1100000,44.368823
78,5600,-43.043714,1120000,43.043714
79,5700,-41.76823,1140000,41.76823
80,5800,-40.652962,1160000,40.652962
81,5900,-39.560881,1180000,39.560881
82,6000,-38.666285,1200000,38.666285
83,6100,-37.758907,1220000,37.758907
84,6200,-36.804862,1240000,36.804862
85,6300,-36.155755,1260000,36.155755
86,6400,-35.125193,1280000,35.125193
87,6500,-34.638419,1300000,34.638419
88,6600,-34.022064,1320000,34.022064
89,6700,-33.375216,1340000,33.375216
90,6800,-32.675351,1360000,32.675351
91,6900,-32.170412,1380000,32.170412
92,7000,-31.721721,1400000,31.721721
93,7100,-31.163591,1420000,31.163591
94,7200,-30.621376,1440000,30.621376
95,7300,-30.173972,1460000,30.173972
96,7400,-29.832077,1480000,29.832077
97,7500,-29.413825,1500000,29.413825
98,7600,-28.988028,1520000,28.988028
99,7700,-28.648359,1540000,28.648359
100,7800,-28.298902,1560000,28.298902
101,7900,-27.947596,1580000,27.947596
102,8000,-27.662312,1600000,27.662312
