,iter,elbo,num_samples,-elbo
0,10,-677.835623,2000,677.835623
1,20,-676.16537,4000,676.16537
2,30,-674.527765,6000,674.527765
3,40,-672.674671,8000,672.674671
4,50,-671.148716,10000,671.148716
5,60,-670.204501,12000,670.204501
6,70,-668.142773,14000,668.142773
7,80,-666.460257,16000,666.460257
8,90,-664.722644,18000,664.722644
9,100,-663.314389,20000,663.314389
10,110,-661.752044,22000,661.752044
11,120,-660.368825,24000,660.368825
12,130,-658.328727,26000,658.328727
13,140,-657.563439,28000,657.563439
14,150,-655.536679,30000,655.536679
15,160,-654.132623,32000,654.132623
16,170,-651.885901,34000,651.885901
17,180,-650.425658,36000,650.425658
18,190,-648.849686,38000,648.849686
19,200,-647.784417,40000,647.784417
20,210,-646.162485,42000,646.162485
21,220,-644.137511,44000,644.137511
22,230,-642.667509,46000,642.667509
23,240,-640.800754,48000,640.800754
24,250,-639.783963,50000,639.783963
25,300,-631.190162,60000,631.190162
26,400,-615.066004,80000,615.066004
27,500,-598.003421,100000,598.003421
28,600,-580.902961,120000,580.902961
29,700,-563.140832,140000,563.140832
30,800,-542.806699,160000,542.806699
31,900,-521.197567,180000,521.197567
32,1000,-497.143897,200000,497.143897
33,1100,-474.930757,220000,474.930757
34,1200,-454.281357,240000,454.281357
35,1300,-431.568997,260000,431.568997
36,1400,-411.728242,280000,411.728242
37,1500,-390.447961,300000,390.447961
38,1600,-368.992221,320000,368.992221
39,1700,-348.447362,340000,348.447362
40,1800,-326.664504,360000,326.664504
41,1900,-305.302963,380000,305.302963
42,2000,-284.574904,400000,284.574904
43,2100,-265.392689,420000,265.392689
44,2200,-246.854941,440000,246.854941
45,2300,-231.288904,460000,231.288904
46,2400,-215.305385,480000,215.305385
47,2500,-200.914471,500000,200.914471
48,2600,-187.679557,520000,187.679557
49,2700,-175.483791,540000,175.483791
50,2800,-164.260761,560000,164.260761
51,2900,-153.901329,580000,153.901329
52,3000,-143.894563,600000,143.894563
53,3100,-135.395665,620000,135.395665
54,3200,-126.816906,640000,126.816906
55,3300,-118.962967,660000,118.962967
56,3400,-112.202153,680000,112.202153
57,3500,-106.139416,700000,106.139416
58,3600,-100.15924,720000,100.15924
59,3700,-94.39731,740000,94.39731
60,3800,-89.305539,760000,89.305539
61,3900,-84.601903,780000,84.601903
62,4000,-80.29812,800000,80.29812
63,4100,-76.66719,820000,76.66719
64,4200,-72.810296,840000,72.810296
65,4300,-69.378963,860000,69.378963
66,4400,-66.368083,880000,66.368083
67,4500,-63.33201,900000,63.33201
68,4600,-61.019428,920000,61.019428
69,4700,-57.797701,940000,57.797701
70,4800,-55.927645,960000,55.927645
71,4900,-53.805515,980000,53.805515
72,5000,-51.704324,1000000,51.704324
73,5100,-49.910283,1020000,49.910283
74,5200,-48.103525,1040000,48.103525
75,5300,-46.759194,1060000,46.759194
76,5400,-45.203981,1080000,45.203981
77,5500,-43.999601,1100000,43.999601
78,5600,-42.579775,1120000,42.579775
79,5700,-41.365631,1140000,41.365631
80,5800,-40.172639,1160000,40.172639
81,5900,-39.048553,1180000,39.048553
82,6000,-38.176191,1200000,38.176191
83,6100,-37.225765,1220000,37.225765
84,6200,-36.417398,1240000,36.417398
85,6300,-35.723242,1260000,35.723242
86,6400,-34.898329,1280000,34.898329
87,6500,-34.149887,1300000,34.149887
88,6600,-33.460967,1320000,33.460967
89,6700,-32.881736,1340000,32.881736
90,6800,-32.349548,1360000,32.349548
91,6900,-31.667582,1380000,31.667582
92,7000,-31.238362,1400000,31.238362
93,7100,-30.723293,1420000,30.723293
94,7200,-30.212907,1440000,30.212907
95,7300,-29.772456,1460000,29.772456
96,7400,-29.293185,1480000,29.293185
97,7500,-28.903044,1500000,28.903044
98,7600,-28.605825,1520000,28.605825
99,7700,-28.155783,1540000,28.155783
100,7800,-27.893806,1560000,27.893806
101,7900,-27.562869,1580000,27.562869
102,8000,-27.318288,1600000,27.318288
