,num_samples,-elbo
0,500,29054.803369835314
1,8982,588.524203753505
2,14800,585.1525156884785
3,21534,585.1186157748883
4,26779,585.1179432199125
5,30445,585.1213292318006
6,31467,585.1175506960203
7,33681,585.1176810878616
8,36492,585.1126423884587
9,38147,585.1199074380737
10,46356,585.1130213927341
11,51611,585.118228473181
12,55444,585.1243183352005
13,59048,585.1204190124428
14,63205,585.1227811155073
15,67271,585.1081602528112
16,71849,585.1127968966944
17,80074,585.1128477200983
18,84676,585.1094253877734
19,90753,585.1087471515128
20,95080,585.1163256421648
21,97421,585.1091080496108
22,100843,585.1098463891194
23,105357,585.1083896162232
24,108479,585.1065060807945
25,115269,585.1136650079483
26,120860,585.106944978263
27,125228,585.1122567954997
28,128860,585.1026730652828
29,131680,585.1094539552338
30,133995,585.1082657409355
31,136807,585.1020957252739
32,146432,585.1046546704671
33,153489,585.1078650736545
34,158440,585.1065486024721
35,162805,585.1058761358337
36,166406,585.1083606875269
37,168741,585.1008846669577
38,172173,585.1039267398651
39,175528,585.1074777891217
40,182861,585.1040491530781
41,190888,585.1029772579736
42,198107,585.106981035053
43,203372,585.1012509320356
44,207098,585.1058354395462
45,210236,585.105450356505
46,212868,585.1017207215829
47,217906,585.105049048458
48,222814,585.1037117937315
49,227030,585.1007251433629
50,231114,585.1044615174125
51,232507,585.1076883513476
52,236029,585.1025757186884
53,240575,585.1043411811967
54,245307,585.104194917263
55,252880,585.1020035468541
56,258518,585.1078748147761
57,261536,585.1045703396746
58,264819,585.0993371629236
59,268718,585.1021870102112
60,271190,585.1036629926294
61,274420,585.103703537985
62,279977,585.1021101021806
63,283880,585.1018867409072
64,289314,585.1022622904015
65,293151,585.1044417740211
66,295324,585.1044571011191
67,300033,585.1075013802536
68,306232,585.1026590937377
69,309227,585.1068280109581
70,317264,585.101443525734
71,324315,585.1042468325035
72,330292,585.0999057128785
73,336264,585.1044563036818
74,341988,585.1043491831978
75,344821,585.1024179531149
76,348184,585.102852035693
77,354244,585.1025322807321
78,359488,585.108376349507
79,366046,585.1043369840388
80,371390,585.1032881759336
81,374530,585.101547312116
82,378591,585.1026647367024
83,383451,585.1043797925009
84,386924,585.101251439656
85,394078,585.099948871668
86,400349,585.1031172624266
87,404451,585.1032191799858
88,409735,585.1028219303655
89,415709,585.1028215818579
90,418450,585.1049857765389
91,420852,585.1027173647061
92,424568,585.1000412169099
93,428778,585.1002126839923
94,434229,585.1001832132442
95,440612,585.0997362094954
96,443014,585.104236763221
97,446191,585.1005198856393
98,450001,585.1032692330742
99,452971,585.1025920569626
100,460038,585.0980504961018
101,466278,585.1063299728704
102,471236,585.1033527514643
103,475020,585.102999241345
104,480860,585.1010949237375
105,486169,585.1011644748799
106,492230,585.102944753431
107,499268,585.0997232691977
108,507474,585.1020808745311
109,515357,585.1041109603208
110,522734,585.1058054132603
111,526756,585.1027090463596
112,532706,585.1066394812466
113,538322,585.1052130521466
114,544277,585.1024770177534
115,554192,585.1079631836192
116,562819,585.1089709164265
117,567594,585.1014977204264
118,573191,585.1007382638951
119,579652,585.1032974334926
120,584420,585.1031009917858
121,588598,585.1001813268452
122,594878,585.1021525391071
123,599632,585.1030691212006
124,605623,585.1018985397587
125,610990,585.1040396758412
126,614297,585.100740315155
127,619914,585.100315041791
128,625020,585.1034422974269
129,628229,585.1014848489357
130,635402,585.099072413809
131,642495,585.0996850216919
132,646520,585.0974875710997
133,651735,585.1043417139623
134,656332,585.1006216451917
135,659775,585.1020161811787
136,665386,585.1039468950515
137,672112,585.1045971467458
138,678758,585.0996829759554
139,685758,585.1074488039657
140,690351,585.1041309525381
141,693007,585.1034529679496
142,699048,585.09997353563
143,705190,585.1017641826693
144,709891,585.1014806090359
145,717447,585.1002976457088
146,725130,585.1039351585731
147,729286,585.1003822706666
148,736942,585.1021049833399
149,742719,585.0997449416947
150,746052,585.1063829954808
151,750376,585.1030178720699
152,757386,585.1026718312047
153,764833,585.104324643462
154,774386,585.1013570996856
155,780641,585.1010287542375
156,782930,585.0994175518674
157,788519,585.1059778549713
158,793642,585.1017771164804
159,797022,585.0999386084404
160,805879,585.1036326453665
161,810985,585.1004594223227
162,814566,585.1024499759602
163,819741,585.0998089016557
164,824876,585.1010013593915
165,827477,585.099540256715
166,832279,585.1010086482102
167,838897,585.1035040790032
168,845204,585.1030049673924
169,851940,585.1030757406597
170,858295,585.1029509426464
171,863969,585.1007063970051
172,871729,585.1004524428771
173,879702,585.1005281402615
174,885473,585.1038563828508
175,892281,585.1012522717423
176,898261,585.1036604289309
177,901416,585.1040780497046
178,906336,585.1016891216362
179,910689,585.0993520177338
180,913309,585.1030832749473
181,917251,585.0999831134234
182,923739,585.0995281069445
183,928383,585.1028951516779
184,934578,585.0998601823394
185,940044,585.1034297876395
186,942533,585.101247167005
187,946277,585.1020296924778
188,950248,585.1022720818042
189,952655,585.1022343683356
190,958769,585.1024598545168
191,965084,585.1029668498538
192,967501,585.1009598426941
193,971984,585.1023567179742
194,977593,585.1012575583786
195,979975,585.1001180351506
196,983212,585.1031866347122
197,988564,585.1012155143053
198,994001,585.1036361279971
199,1000757,585.1027800594134
200,1006218,585.1011979782216
201,1008826,585.1002128908474
202,1014988,585.1028896649069
203,1022523,585.10580840419
204,1026597,585.1055754281665
205,1034947,585.0991288244782
206,1042579,585.1064963516988
207,1045393,585.1003016423041
208,1050761,585.1028251317732
209,1056565,585.0989845793374
210,1059796,585.1043226514197
211,1063308,585.0997750722229
212,1068961,585.0983240408733
213,1073411,585.1007310113553
214,1078404,585.1016411839489
215,1084041,585.1022251058973
216,1086637,585.1054166241248
217,1090347,585.1016454790463
218,1094187,585.1028975207317
219,1097017,585.1020976639575
220,1103669,585.1015293578964
221,1108758,585.1002241922857
222,1115283,585.0996444656893
223,1121358,585.1018565560292
224,1126036,585.1011445522008
225,1128488,585.1009731341773
226,1131283,585.1009498622626
227,1137565,585.0976923267107
228,1142618,585.101510890585
229,1149976,585.0993835315389
230,1156490,585.1017991366643
231,1160840,585.1044518156222
232,1166745,585.1021907500142
233,1171198,585.1017544455407
234,1174983,585.0993769534883
235,1182399,585.0993168479372
236,1187771,585.0987828140563
237,1191962,585.100508652992
238,1198126,585.1009780094962
239,1201768,585.1012236799984
240,1204840,585.1008244401214
241,1208365,585.0967121690554
242,1215634,585.1050835381614
243,1220165,585.103181131809
244,1225217,585.1016910978675
245,1230680,585.1016370529248
246,1233310,585.1014544674863
247,1236986,585.0999235632872
248,1241936,585.1037471434125
249,1244488,585.1001530133689
250,1250873,585.1019797754227
251,1256616,585.1002443591182
252,1259493,585.100889387009
