,_step,num_samples,_runtime,-elbo,num_detected_modes
0,0,200,9.008259296417236,684.107421875,0
1,10,2200,11.901007175445557,682.53173828125,0
2,20,4200,14.425206184387207,680.5113525390625,0
3,30,6200,16.255517721176147,679.5185546875,0
4,40,8200,19.909656286239624,678.3192138671875,0
5,50,10200,21.71129274368286,675.8822021484375,0
6,60,12200,23.647042751312256,674.24609375,0
7,70,14200,26.485671997070312,673.1051025390625,0
8,80,16200,30.19307255744934,671.5001220703125,0
9,90,18200,32.44885540008545,670.0457763671875,0
10,100,20200,34.5011932849884,668.2845458984375,0
11,110,22200,36.56921339035034,666.274169921875,0
12,120,24200,38.65959715843201,665.3084716796875,0
13,130,26200,40.71975374221802,663.3289794921875,0
14,140,28200,42.749523401260376,661.9183349609375,0
15,150,30200,44.79507899284363,660.606689453125,0
16,160,32200,46.81933856010437,658.804931640625,0
17,170,34200,48.85125708580017,657.8173828125,0
18,180,36200,50.91507530212402,655.918701171875,0
19,190,38200,52.94770836830139,654.033935546875,0
20,200,40200,54.86380362510681,652.6490478515625,0
21,210,42200,56.790597438812256,651.03369140625,0
22,220,44200,58.68760943412781,649.203369140625,0
23,230,46200,60.67607259750366,647.529296875,0
24,240,48200,62.61329460144043,646.407470703125,0
25,250,50200,64.68781852722168,644.4234619140625,0
26,260,52200,66.67099833488464,642.2962646484375,0
27,270,54200,68.65048551559448,641.0843505859375,0
28,280,56200,70.64266753196716,639.362060546875,0
29,290,58200,72.68060874938965,638.2125244140625,0
30,300,60200,74.70262479782104,636.568115234375,0
31,310,62200,76.73822855949402,634.0579833984375,0
32,320,64200,78.79736042022705,633.1767578125,0
33,330,66200,80.85112643241882,631.51171875,0
34,340,68200,82.84901762008667,629.992919921875,0
35,350,70200,84.75855565071106,627.91015625,0
36,360,72200,86.75591540336609,626.6435546875,0
37,370,74200,88.8117322921753,624.6351318359375,0
38,380,76200,90.85974168777466,623.265380859375,0
39,390,78200,92.87134647369385,621.292724609375,0
40,400,80200,94.94854354858398,620.318359375,0
41,410,82200,97.01728701591492,617.772705078125,0
42,420,84200,99.05736351013184,616.8048095703125,0
43,430,86200,101.0894386768341,615.0318603515625,0
44,440,88200,103.12934041023254,612.7337646484375,0
45,450,90200,105.16483283042908,610.6817626953125,0
46,460,92200,107.23818731307983,609.459716796875,0
47,470,94200,109.30500936508179,607.781982421875,0
48,480,96200,111.30602192878723,605.895751953125,0
49,490,98200,113.21274828910828,604.6185302734375,0
50,500,100200,115.00916457176208,602.81396484375,0
51,510,102200,116.99962091445923,600.7781982421875,0
52,520,104200,119.00958275794983,599.603759765625,0
53,530,106200,121.01374983787537,597.89599609375,0
54,540,108200,123.03948259353638,595.489013671875,0
55,550,110200,124.96676421165466,594.6522216796875,0
56,560,112200,126.94702053070068,592.4613037109375,0
57,570,114200,128.95340609550476,591.23583984375,0
58,580,116200,130.97943806648254,588.875,0
59,590,118200,132.95847463607788,587.4586181640625,0
60,600,120200,134.96258974075317,586.2813720703125,0
61,610,122200,136.98131799697876,583.3009033203125,0
62,620,124200,139.00176239013672,581.5523681640625,0
63,630,126200,140.9855649471283,579.8955078125,0
64,640,128200,143.03581309318542,577.744384765625,0
65,650,130200,145.0757920742035,576.4293212890625,0
66,660,132200,147.07078647613525,574.4420166015625,0
67,670,134200,149.0855588912964,572.3338623046875,0
68,680,136200,151.06964659690857,570.80224609375,0
69,690,138200,152.95565748214722,569.827880859375,0
70,700,140200,154.9755208492279,566.2906494140625,0
71,710,142200,156.99269437789917,564.9703369140625,0
72,720,144200,159.01258325576782,562.42578125,0
73,730,146200,161.04688596725464,560.6925048828125,0
74,740,148200,163.09171748161316,558.448486328125,0
75,750,150200,165.1002254486084,556.95703125,0
76,760,152200,167.0406095981598,555.14794921875,0
77,770,154200,168.87233901023865,552.4710693359375,0
78,780,156200,170.86913514137268,550.8499755859375,0
79,790,158200,172.88139057159424,547.8328857421875,0
80,800,160200,174.92298650741577,545.8785400390625,0
81,810,162200,176.91880583763123,543.472412109375,0
82,820,164200,178.9006428718567,539.888916015625,0
83,830,166200,180.83026003837585,538.5703125,0
84,840,168200,182.8516082763672,535.8250732421875,0
85,850,170200,184.9044966697693,533.175048828125,0
86,860,172200,186.80034637451172,529.536865234375,0
87,870,174200,188.6690320968628,528.211669921875,0
88,880,176200,190.6250569820404,525.54541015625,0
89,890,178200,192.67267370224,522.48583984375,0
90,900,180200,194.61988830566406,521.4677734375,0
91,910,182200,196.4611144065857,517.477294921875,0
92,920,184200,198.31759905815125,514.2030029296875,0
93,930,186200,200.25060439109802,512.8599853515625,0
94,940,188200,202.22324776649475,508.184814453125,0
95,950,190200,204.25981044769287,506.413330078125,0
96,960,192200,206.26361680030823,504.79150390625,0
97,970,194200,208.2214298248291,502.4228515625,0
98,980,196200,210.20385265350342,499.4722900390625,0
99,990,198200,212.22074031829834,499.1156005859375,0
100,1000,200200,214.2607295513153,495.593505859375,0
101,1010,202200,216.30656504631042,493.048828125,0
102,1020,204200,218.31958937644958,489.8929443359375,0
103,1030,206200,220.3651828765869,488.722412109375,0
104,1040,208200,222.33514261245728,486.080810546875,0
105,1050,210200,224.35309767723083,484.514404296875,0
106,1060,212200,226.39111614227295,482.0675048828125,0
107,1070,214200,228.38134098052979,479.104736328125,0
108,1080,216200,230.38542938232422,480.0269775390625,0
109,1090,218200,232.37888550758362,475.82666015625,0
110,1100,220200,234.19205236434937,473.4754638671875,0
111,1110,222200,236.0750367641449,470.6085205078125,0
112,1120,224200,237.99705457687378,468.6605224609375,0
113,1130,226200,240.03330373764038,468.0687255859375,0
114,1140,228200,242.08663034439087,463.701904296875,0
115,1150,230200,243.99993705749512,462.38720703125,0
116,1160,232200,245.90193915367126,459.02197265625,0
117,1170,234200,247.76081228256226,458.7745361328125,0
118,1180,236200,249.77970504760742,456.372314453125,0
119,1190,238200,251.7859811782837,454.361083984375,0
120,1200,240200,253.77243757247925,451.0972900390625,0
121,1210,242200,255.72203588485718,449.811767578125,0
122,1220,244200,257.74656414985657,447.0982666015625,0
123,1230,246200,259.7578001022339,445.710693359375,0
124,1240,248200,261.7124037742615,441.688720703125,0
125,1250,250200,263.7233307361603,440.14599609375,0
126,1260,252200,265.7581489086151,439.4083251953125,0
127,1270,254200,267.7948715686798,436.9608154296875,0
128,1280,256200,269.8325250148773,434.9521484375,0
129,1290,258200,271.8823046684265,432.3037109375,0
130,1300,260200,273.91261291503906,430.540771484375,0
131,1310,262200,275.93276166915894,428.3944091796875,0
132,1320,264200,277.97643995285034,426.5347900390625,0
133,1330,266200,280.00842237472534,423.8553466796875,0
134,1340,268200,282.04315090179443,420.539306640625,0
135,1350,270200,284.069491147995,419.729248046875,0
136,1360,272200,286.1024258136749,416.9569091796875,0
137,1370,274200,288.11518454551697,414.166748046875,0
138,1380,276200,290.06921195983887,413.2894287109375,0
139,1390,278200,292.09047508239746,411.4835205078125,0
140,1400,280200,294.041565656662,407.740234375,0
141,1410,282200,296.0075933933258,406.8363037109375,0
142,1420,284200,298.0281705856323,404.6331787109375,0
143,1430,286200,300.0235710144043,401.737548828125,0
144,1440,288200,301.85519003868103,399.54833984375,0
145,1450,290200,303.6840600967407,398.36572265625,0
146,1460,292200,305.57081270217896,395.5341796875,0
147,1470,294200,307.49119806289673,393.335205078125,0
148,1480,296200,309.4301817417145,391.2547607421875,0
149,1490,298200,311.47238659858704,388.5360107421875,0
150,1500,300200,313.5292489528656,387.53759765625,0
151,1510,302200,315.53316473960876,385.6370849609375,0
152,1520,304200,317.46027851104736,382.853759765625,0
153,1530,306200,319.4758129119873,381.54736328125,0
154,1540,308200,321.46845507621765,380.1715087890625,0
155,1550,310200,323.5042281150818,376.17138671875,0
156,1560,312200,325.478746175766,373.9205322265625,0
157,1570,314200,327.4399814605713,372.1126708984375,0
158,1580,316200,329.4816572666168,370.466552734375,0
159,1590,318200,331.45939683914185,368.063232421875,0
160,1600,320200,333.330203294754,366.102294921875,0
161,1610,322200,335.1769642829895,362.7730712890625,0
162,1620,324200,337.01520347595215,361.4552001953125,0
163,1630,326200,338.9030935764313,359.3118896484375,0
164,1640,328200,340.96933698654175,357.3077392578125,0
165,1650,330200,343.02025055885315,356.5048828125,0
166,1660,332200,345.0612907409668,354.7020263671875,0
167,1670,334200,347.12831711769104,352.0240478515625,0
168,1680,336200,349.08018493652344,349.1185302734375,0
169,1690,338200,351.0230543613434,347.1707763671875,0
170,1700,340200,353.07035207748413,345.570556640625,0
171,1710,342200,355.1025540828705,343.8565673828125,0
172,1720,344200,357.16118240356445,340.96630859375,0
173,1730,346200,359.20546865463257,339.532958984375,0
174,1740,348200,361.2778158187866,336.4334716796875,0
175,1750,350200,363.23229336738586,335.2001953125,0
176,1760,352200,365.2769458293915,332.3177490234375,0
177,1770,354200,367.3501980304718,331.3956298828125,0
178,1780,356200,369.3907902240753,329.1737060546875,0
179,1790,358200,371.42218351364136,327.4281005859375,0
180,1800,360200,373.4207549095154,325.1156005859375,0
181,1810,362200,375.44220089912415,322.178466796875,0
182,1820,364200,377.4636080265045,321.3878173828125,0
183,1830,366200,379.44298791885376,318.606689453125,0
184,1840,368200,381.43759393692017,316.9375,0
185,1850,370200,383.3248312473297,315.0164794921875,0
186,1860,372200,385.1685597896576,312.8282470703125,0
187,1870,374200,387.0338294506073,311.3900146484375,0
188,1880,376200,388.9769837856293,309.6689453125,0
189,1890,378200,390.96680760383606,306.8922119140625,0
190,1900,380200,392.9936435222626,304.4146728515625,0
191,1910,382200,394.99091935157776,302.6531982421875,0
192,1920,384200,396.9898889064789,301.05078125,0
193,1930,386200,398.97957611083984,299.5772705078125,0
194,1940,388200,400.9962956905365,296.9207763671875,0
195,1950,390200,402.9970712661743,294.157470703125,0
196,1960,392200,404.9945993423462,293.93798828125,0
197,1970,394200,406.99973154067993,291.601806640625,0
198,1980,396200,409.0518202781677,289.900634765625,0
199,1990,398200,411.0621302127838,287.9639892578125,0
200,2000,400200,413.065224647522,286.486328125,0
201,2010,402200,415.0995373725891,284.2366943359375,0
202,2020,404200,417.043447971344,282.440673828125,0
203,2030,406200,418.93848991394043,280.8365478515625,0
204,2040,408200,420.9574522972107,279.35546875,0
205,2050,410200,422.95613408088684,276.9903564453125,0
206,2060,412200,424.88967657089233,274.869873046875,0
207,2070,414200,426.80765080451965,273.516357421875,0
208,2080,416200,428.747704744339,271.07177734375,0
209,2090,418200,430.7223393917084,269.135498046875,0
210,2100,420200,432.72308325767517,267.797607421875,0
211,2110,422200,434.6842186450958,266.1907958984375,0
212,2120,424200,436.6456763744354,264.705322265625,0
213,2130,426200,438.68377447128296,262.899169921875,0
214,2140,428200,440.6569347381592,260.449951171875,0
215,2150,430200,442.60760831832886,259.507568359375,0
216,2160,432200,444.6412672996521,257.7572021484375,0
217,2170,434200,446.67936658859253,256.584228515625,0
218,2180,436200,448.5949296951294,254.954345703125,0
219,2190,438200,450.60148429870605,252.5029296875,0
220,2200,440200,452.6321213245392,251.29248046875,0
221,2210,442200,454.53047919273376,249.686279296875,0
222,2220,444200,456.52412247657776,247.782958984375,0
223,2230,446200,458.47626209259033,245.6683349609375,0
224,2240,448200,460.53359603881836,244.6378173828125,0
225,2250,450200,462.54877829551697,243.169677734375,0
226,2260,452200,464.57925629615784,241.1522216796875,0
227,2270,454200,466.60364532470703,239.1873779296875,0
228,2280,456200,468.61738419532776,238.112548828125,0
229,2290,458200,470.4942865371704,236.6888427734375,0
230,2300,460200,472.42130517959595,234.9412841796875,0
231,2310,462200,474.4474632740021,233.374755859375,0
232,2320,464200,476.33142256736755,231.3775634765625,0
233,2330,466200,478.2402892112732,230.6881103515625,0
234,2340,468200,480.2895278930664,229.9560546875,0
235,2350,470200,482.25225615501404,228.1837158203125,0
236,2360,472200,484.2582001686096,225.186767578125,0
237,2370,474200,486.2474572658539,224.942626953125,0
238,2380,476200,488.27289175987244,223.2620849609375,0
239,2390,478200,490.23103404045105,220.910888671875,0
240,2400,480200,492.2399868965149,220.1932373046875,0
241,2410,482200,494.2836217880249,218.70556640625,0
242,2420,484200,496.2996039390564,217.1907958984375,0
243,2430,486200,498.27948808670044,215.978271484375,0
244,2440,488200,500.2862982749939,214.6802978515625,0
245,2450,490200,502.2373466491699,212.7149658203125,0
246,2460,492200,504.2040090560913,211.6209716796875,0
247,2470,494200,506.203241109848,210.3507080078125,0
248,2480,496200,508.2211880683899,209.228271484375,0
249,2490,498200,510.18903517723083,207.4444580078125,0
250,2500,500200,512.1135087013245,206.2281494140625,0
251,2510,502200,513.9696054458618,205.071044921875,0
252,2520,504200,515.9608581066132,203.5811767578125,0
253,2530,506200,518.0276126861572,201.7847900390625,0
254,2540,508200,520.0067894458771,201.01953125,0
255,2550,510200,522.0168838500977,200.1346435546875,0
256,2560,512200,523.9758508205414,198.3695068359375,0
257,2570,514200,525.9009039402008,196.6510009765625,0
258,2580,516200,527.9480459690094,195.5579833984375,0
259,2590,518200,529.9639360904694,194.0914306640625,0
260,2600,520200,531.8976926803589,193.4549560546875,0
261,2610,522200,533.8946130275726,192.220703125,0
262,2620,524200,535.9364552497864,190.693359375,0
263,2630,526200,537.8822696208954,188.7906494140625,0
264,2640,528200,539.7890565395355,187.724609375,0
265,2650,530200,541.7181458473206,186.8048095703125,0
266,2660,532200,543.7676076889038,185.9246826171875,0
267,2670,534200,545.7967846393585,184.237548828125,0
268,2680,536200,547.8090100288391,183.0867919921875,0
269,2690,538200,549.7644550800323,182.0908203125,0
270,2700,540200,551.7595255374908,180.595458984375,0
271,2710,542200,553.7115943431854,180.1287841796875,0
272,2720,544200,555.6960034370422,178.1953125,0
273,2730,546200,557.7312817573547,177.283447265625,0
274,2740,548200,559.7620959281921,176.6246337890625,0
