,_step,num_samples,_runtime,-elbo,num_detected_modes
0,0,200,8.339630126953125,683.3060302734375,0
1,10,2200,10.154784440994263,681.5068359375,0
2,20,4200,12.112375736236572,679.72412109375,0
3,30,6200,14.127867937088013,677.83251953125,0
4,40,8200,16.14539909362793,676.6400146484375,0
5,50,10200,18.16757106781006,675.113525390625,0
6,60,12200,20.196380376815796,673.4598388671875,0
7,70,14200,22.201448678970337,671.8568115234375,0
8,80,16200,24.227931022644043,670.33349609375,0
9,90,18200,26.269959926605225,668.568115234375,0
10,100,20200,28.287518978118896,666.9268798828125,0
11,110,22200,30.262520790100098,665.8861083984375,0
12,120,24200,32.277693033218384,663.043701171875,0
13,130,26200,34.28603744506836,662.518798828125,0
14,140,28200,36.28082323074341,661.393798828125,0
15,150,30200,38.28811717033386,659.28564453125,0
16,160,32200,40.28629279136658,658.7021484375,0
17,170,34200,42.327115297317505,656.864501953125,0
18,180,36200,44.31204628944397,654.3111572265625,0
19,190,38200,46.23773789405823,653.0198974609375,0
20,200,40200,48.07890701293945,650.8916015625,0
21,210,42200,49.93151330947876,650.08203125,0
22,220,44200,51.83485436439514,647.500244140625,0
23,230,46200,53.844773054122925,645.682861328125,0
24,240,48200,55.87132215499878,645.53759765625,0
25,250,50200,57.84587526321411,643.2325439453125,0
26,260,52200,59.766589641571045,642.29345703125,0
27,270,54200,61.59850096702576,640.7392578125,0
28,280,56200,63.62193059921265,638.3912353515625,0
29,290,58200,65.67874431610107,636.4290771484375,0
30,300,60200,67.67738723754883,636.4703369140625,0
31,310,62200,69.53378677368164,632.85986328125,0
32,320,64200,71.42663908004761,631.88525390625,0
33,330,66200,73.46264624595642,630.0677490234375,0
34,340,68200,75.51256489753723,628.615966796875,0
35,350,70200,77.55321741104126,626.5694580078125,0
36,360,72200,79.52508449554443,625.6492919921875,0
37,370,74200,81.4525499343872,624.48046875,0
38,380,76200,83.49321556091309,621.8192138671875,0
39,390,78200,85.53412103652954,620.084228515625,0
40,400,80200,87.56711530685425,618.5181884765625,0
41,410,82200,89.6050796508789,616.461181640625,0
42,420,84200,91.60929226875305,614.7786865234375,0
43,430,86200,93.61054015159607,614.3582763671875,0
44,440,88200,95.63944792747498,612.367431640625,0
45,450,90200,97.70354127883911,609.882568359375,0
46,460,92200,99.73864269256592,609.0999755859375,0
47,470,94200,101.80144882202148,607.318359375,0
48,480,96200,103.81314301490784,605.682373046875,0
49,490,98200,105.8358199596405,603.546875,0
50,500,100200,107.90711879730225,602.3460693359375,0
51,510,102200,109.94743132591248,599.79248046875,0
52,520,104200,111.95978474617004,598.3690185546875,0
53,530,106200,114.02408695220947,595.907958984375,0
54,540,108200,116.0741639137268,593.692626953125,0
55,550,110200,118.10735535621643,593.498291015625,0
56,560,112200,120.11991262435913,591.4102783203125,0
57,570,114200,122.12834548950195,589.54638671875,0
58,580,116200,124.13213562965393,588.3836669921875,0
59,590,118200,126.09773564338684,585.8385009765625,0
60,600,120200,127.98118352890015,583.8485107421875,0
61,610,122200,129.8930230140686,581.7496337890625,0
62,620,124200,131.8963532447815,581.031982421875,0
63,630,126200,133.91351985931396,578.572021484375,0
64,640,128200,135.92716670036316,576.598876953125,0
65,650,130200,138.01445746421814,574.8660888671875,0
66,660,132200,139.96908712387085,573.0396728515625,0
67,670,134200,141.9957718849182,571.5567626953125,0
68,680,136200,144.0375144481659,569.4346923828125,0
69,690,138200,146.02405834197998,567.5191650390625,0
70,700,140200,147.96821904182434,565.2216796875,0
71,710,142200,149.99341821670532,563.36474609375,0
72,720,144200,151.98650336265564,561.09033203125,0
73,730,146200,153.99721693992615,559.2645263671875,0
74,740,148200,156.026358127594,558.775390625,0
75,750,150200,158.0117449760437,555.428955078125,0
76,760,152200,159.93110966682434,554.001953125,0
77,770,154200,161.961918592453,551.731201171875,0
78,780,156200,163.98037123680115,550.0418701171875,0
79,790,158200,165.92003536224365,547.446533203125,0
80,800,160200,167.8478238582611,545.4176025390625,0
81,810,162200,169.77878165245056,543.5450439453125,0
82,820,164200,171.6821370124817,540.9906005859375,0
83,830,166200,173.66252756118774,538.811767578125,0
84,840,168200,175.68630647659302,536.5311279296875,0
85,850,170200,177.66553235054016,534.4166259765625,0
86,860,172200,179.64090275764465,533.2564697265625,0
87,870,174200,181.67069816589355,530.0323486328125,0
88,880,176200,183.69272232055664,529.1541748046875,0
89,890,178200,185.69674468040466,526.627685546875,0
90,900,180200,187.7393786907196,523.3065185546875,0
91,910,182200,189.7065908908844,521.52490234375,0
92,920,184200,191.7104799747467,520.659912109375,0
93,930,186200,193.61598134040833,517.7969970703125,0
94,940,188200,195.59124612808228,515.40087890625,0
95,950,190200,197.6104736328125,512.878173828125,0
96,960,192200,199.64487147331238,511.466796875,0
97,970,194200,201.67806315422058,508.2052001953125,0
98,980,196200,203.71389055252075,505.3974609375,0
99,990,198200,205.70081615447998,503.39599609375,0
100,1000,200200,207.654789686203,501.518310546875,0
101,1010,202200,209.59490585327148,498.3155517578125,0
102,1020,204200,211.61638188362122,498.0267333984375,0
103,1030,206200,213.6539261341095,496.2769775390625,0
104,1040,208200,215.65522384643555,493.2279052734375,0
105,1050,210200,217.6628770828247,490.4925537109375,0
106,1060,212200,219.6637828350067,489.2210693359375,0
107,1070,214200,221.68631625175476,486.6239013671875,0
108,1080,216200,223.68729043006897,483.093994140625,0
109,1090,218200,225.70275473594666,481.5126953125,0
110,1100,220200,227.75950813293457,479.1722412109375,0
111,1110,222200,229.7059142589569,477.522216796875,0
112,1120,224200,231.64122557640076,475.935546875,0
113,1130,226200,233.60042715072632,472.845947265625,0
114,1140,228200,235.6643795967102,470.91748046875,0
115,1150,230200,237.57876563072205,468.8543701171875,0
116,1160,232200,239.4100136756897,465.57421875,0
117,1170,234200,241.42616629600525,463.5750732421875,0
118,1180,236200,243.47721147537231,462.8990478515625,0
119,1190,238200,245.46113872528076,459.4630126953125,0
120,1200,240200,247.43769526481628,457.768798828125,0
121,1210,242200,249.3787124156952,454.8115234375,0
122,1220,244200,251.29019784927368,452.781494140625,0
123,1230,246200,253.34284329414368,450.594970703125,0
124,1240,248200,255.3554346561432,447.6490478515625,0
125,1250,250200,257.37475752830505,445.7642822265625,0
126,1260,252200,259.4176046848297,443.66943359375,0
127,1270,254200,261.4466404914856,442.04345703125,0
128,1280,256200,263.47293615341187,439.2623291015625,0
129,1290,258200,265.38004064559937,436.67431640625,0
130,1300,260200,267.27486395835876,433.8804931640625,0
131,1310,262200,269.3398518562317,432.240966796875,0
132,1320,264200,271.3475399017334,431.525634765625,0
133,1330,266200,273.3677911758423,427.72998046875,0
134,1340,268200,275.3695378303528,425.3673095703125,0
135,1350,270200,277.3684403896332,423.7452392578125,0
136,1360,272200,279.3644759654999,419.4417724609375,0
137,1370,274200,281.4397873878479,420.0550537109375,0
138,1380,276200,283.4745213985443,416.2666015625,0
139,1390,278200,285.48571705818176,413.6695556640625,0
140,1400,280200,287.47842359542847,411.6829833984375,0
141,1410,282200,289.4993543624878,410.396728515625,0
142,1420,284200,291.52717995643616,406.975830078125,0
