,_step,num_samples,_runtime,-elbo,num_detected_modes
0,0,200,8.209028244018555,48.70751953125,0
1,150,30200,12.052755355834961,30.31279754638672,0
2,300,60200,16.355966091156006,16.09130096435547,0
3,450,90200,21.092150449752808,12.097671508789062,0
4,600,120200,26.321701526641846,10.986564636230469,1
5,750,150200,32.140403747558594,10.395698547363281,6
6,900,180200,38.582048416137695,10.102806091308594,8
7,1050,210200,45.600114822387695,9.83154296875,9
8,1200,240200,53.18425369262695,9.563079833984375,10
9,1350,270200,61.38689827919006,9.344802856445312,10
10,1500,300200,70.21019864082336,9.083526611328125,10
11,1650,330200,79.64301562309265,8.87890625,10
12,1800,360200,89.85306549072266,8.673240661621094,10
13,1950,390200,100.74875593185425,8.424880981445312,10
14,2100,420200,112.19373846054077,8.336357116699219,10
15,2250,450200,124.2551760673523,8.120895385742188,10
16,2400,480200,136.96332240104675,8.021072387695312,10
17,2550,510200,150.4309778213501,7.812034606933594,10
18,2700,540200,164.46192979812622,7.669776916503906,10
19,2850,570200,179.1445026397705,7.5227813720703125,10
20,3000,600200,194.29618787765503,7.3950958251953125,10
21,3150,630200,210.1601734161377,7.135658264160156,10
22,3300,660200,226.80917501449585,7.049201965332031,10
23,3450,690200,243.99535083770752,6.8814849853515625,10
24,3600,720200,261.80754017829895,6.7824554443359375,10
25,3750,750200,280.44544982910156,6.598548889160156,10
26,3900,780200,299.4319965839386,6.498085021972656,10
27,4050,810200,319.00392150878906,6.28717041015625,10
28,4200,840200,339.4003155231476,6.2052154541015625,10
29,4350,870200,360.6367027759552,6.020606994628906,10
30,4500,900200,382.3741841316223,5.8619384765625,10
31,4650,930200,404.2583727836609,5.651115417480469,10
32,4800,960200,426.9282169342041,5.544834136962891,10
33,4950,990200,450.1686227321625,5.347148895263672,10
34,5100,1020200,473.9548101425171,5.168060302734375,10
35,5250,1050200,498.58271980285645,5.054710388183594,10
36,5400,1080200,523.9679522514343,4.9381256103515625,10
37,5550,1110200,549.9295740127563,4.7565155029296875,10
38,5700,1140200,576.6801269054413,4.660682678222656,10
39,5850,1170200,603.913562297821,4.509082794189453,10
40,6000,1200200,631.9385962486267,4.295310974121094,10
41,6150,1230200,660.9044063091278,4.208087921142578,10
42,6300,1260200,690.5531239509583,4.02191162109375,10
43,6450,1290200,720.8577244281769,4.0171051025390625,10
44,6600,1320200,752.0576050281525,3.6904869079589844,10
45,6750,1350200,784.086827993393,3.5859107971191406,10
46,6900,1380200,816.9188523292542,3.3872718811035156,10
47,7050,1410200,850.2130436897278,3.286602020263672,10
48,7200,1440200,884.569415807724,3.213573455810547,10
49,7350,1470200,919.1240329742432,3.0584449768066406,10
50,7500,1500200,954.7697350978851,2.9191131591796875,10
51,7650,1530200,990.8167545795441,2.845256805419922,10
52,7800,1560200,1027.6255741119385,2.6303062438964844,10
53,7950,1590200,1065.1054425239563,2.5432701110839844,10
54,8100,1620200,1103.1973276138306,2.384075164794922,10
55,8250,1650200,1142.3594799041748,2.2682151794433594,10
56,8400,1680200,1183.2878069877625,2.2034950256347656,10
57,8550,1710200,1224.5052282810211,2.0585498809814453,10
58,8700,1740200,1265.9586908817291,1.9844799041748047,10
59,8850,1770200,1307.8939304351807,1.7731685638427734,10
60,9000,1800200,1349.80592751503,1.7018623352050781,10
61,9150,1830200,1391.8895163536072,1.6601448059082031,10
62,9300,1860200,1434.364823102951,1.5609054565429688,10
63,9450,1890200,1477.6877710819244,1.4462451934814453,10
64,9600,1920200,1521.2642421722412,1.3863792419433594,10
65,9750,1950200,1565.655951499939,1.2921276092529297,10
66,9900,1980200,1610.78675532341,1.2172832489013672,10
67,10050,2010200,1656.7139644622803,1.1402301788330078,10
68,10200,2040200,1701.5429122447968,1.076080322265625,10
69,10350,2070200,1747.1209299564362,1.0236225128173828,10
70,10500,2100200,1793.4182131290436,0.9631576538085938,10
71,10650,2130200,1839.388738155365,0.8705883026123047,10
72,10800,2160200,1886.5822620391846,0.8534088134765625,10
73,10950,2190200,1934.4444181919098,0.8058891296386719,10
74,11100,2220200,1983.1642978191376,0.7665843963623047,10
75,11250,2250200,2032.6368112564087,0.7150211334228516,10
76,11400,2280200,2083.070766210556,0.6626682281494141,10
77,11550,2310200,2133.9432775974274,0.6632804870605469,10
78,11700,2340200,2184.9636170864105,0.6055421829223633,10
79,11850,2370200,2236.0110018253326,0.5864725112915039,10
80,12000,2400200,2287.754613161087,0.5813050270080566,10
81,12150,2430200,2340.3763976097107,0.5489373207092285,10
82,12300,2460200,2393.394574403763,0.5393228530883789,10
83,12450,2490200,2447.8775470256805,0.5147433280944824,10
84,12600,2520200,2503.1335871219635,0.5197849273681641,10
85,12750,2550200,2558.9319460392,0.4678936004638672,10
86,12900,2580200,2614.9578449726105,0.4542069435119629,10
87,13050,2610200,2672.317240715027,0.4688994884490967,10
88,13200,2640200,2730.9375550746918,0.46215009689331055,10
89,13350,2670200,2789.6777148246765,0.4785137176513672,10
90,13500,2700200,2847.507344484329,0.4404754638671875,10
91,13650,2730200,2905.5617520809174,0.4430050849914551,10
92,13800,2760200,2964.428610563278,0.4521448612213135,10
93,13950,2790200,3024.3680527210236,0.43651342391967773,10
94,14100,2820200,3084.957077741623,0.4348413944244385,10
95,14250,2850200,3146.9267086982727,0.46320974826812744,10
96,14400,2880200,3209.8772161006927,0.43031537532806396,10
97,14550,2910200,3273.5233182907104,0.4085195064544678,10
98,14700,2940200,3338.5310232639313,0.428156316280365,10
99,14850,2970200,3404.59654211998,0.41062963008880615,10
100,15000,3000200,3471.833135843277,0.39645421504974365,10
101,15150,3030200,3531.985682964325,0.43979573249816895,10
102,15300,3060200,3591.254636526108,0.4239160120487213,10
103,15450,3090200,3650.9608376026154,0.4289007782936096,10
104,15600,3120200,3711.4058516025543,0.42293819785118103,10
105,15750,3150200,3772.700398206711,0.4219517111778259,10
106,15900,3180200,3835.4050884246826,0.42805996537208557,10
107,16050,3210200,3899.42755818367,0.41077280044555664,10
108,16200,3240200,3963.1972460746765,0.4137016832828522,10
109,16350,3270200,4027.1220266819,0.4101588726043701,10
110,16500,3300200,4092.271295785904,0.41800782084465027,10
111,16650,3330200,4158.762860536575,0.4224843382835388,10
112,16800,3360200,4225.07804942131,0.40960150957107544,10
113,16950,3390200,4292.745587825775,0.44056326150894165,10
114,17100,3420200,4361.604763031006,0.4116508960723877,10
115,17250,3450200,4432.377643108368,0.4289034605026245,10
116,17400,3480200,4503.848509788513,0.41123151779174805,10
117,17550,3510200,4575.821522474289,0.4227991998195648,10
118,17700,3540200,4647.7118129730225,0.40354859828948975,10
119,17850,3570200,4723.445694208145,0.42021051049232483,10
120,18000,3600200,4798.991369009018,0.4202295243740082,10
