,num_samples,-elbo
0,2000.0,48.33584662546536
1,4000.0,47.399655984010984
2,6000.0,46.040755799017425
3,8000.0,44.7119664970335
4,10000.0,43.74779693743822
5,12000.0,42.42953422543325
6,14000.0,41.37208958738866
7,16000.0,40.09115572471127
8,18000.0,38.789141614152925
9,20000.0,37.38219666840434
10,22000.0,36.175356599076686
11,24000.0,34.648328531547065
12,26000.0,33.19893089393547
13,28000.0,31.876982170558108
14,30000.0,30.65977000189273
15,32000.0,29.40351797233724
16,34000.0,27.893021782891896
17,36000.0,26.47620992443266
18,38000.0,25.557609980989277
19,40000.0,24.234197782269565
20,42000.0,23.048083279978204
21,44000.0,21.873149584796842
22,46000.0,20.887747838383078
23,48000.0,19.958424505876398
24,50000.0,18.862973987997677
25,60000.0,15.805511354324072
26,80000.0,12.94345523366652
27,100000.0,11.69374369396476
28,120000.0,11.073576355889463
29,140000.0,10.685285688040375
30,160000.0,10.464463366181235
31,180000.0,10.352769925131568
32,200000.0,10.127049542053614
33,220000.0,9.922850252735651
34,240000.0,9.854146577843768
35,260000.0,9.653268080780599
36,280000.0,9.529792464727
37,300000.0,9.397554659995617
38,320000.0,9.268979736006688
39,340000.0,9.127899104054519
40,360000.0,8.972620503557122
41,380000.0,8.785800009839324
42,400000.0,8.764477338908954
43,420000.0,8.610015080015302
44,440000.0,8.478526734474176
45,460000.0,8.358456203272116
46,480000.0,8.335057394266075
47,500000.0,8.141848861062178
48,520000.0,8.031378191677199
49,540000.0,7.9323688982600755
50,560000.0,7.819198324084218
51,580000.0,7.7427019415392335
52,600000.0,7.6109913688507795
53,620000.0,7.5440955693230185
54,640000.0,7.3978830346467035
55,660000.0,7.292951903057819
56,680000.0,7.184682631129927
57,700000.0,7.156514721408008
58,720000.0,7.020205573462285
59,740000.0,6.8480679180014175
60,760000.0,6.831358533605593
61,780000.0,6.748087347185523
62,800000.0,6.61818429298931
63,820000.0,6.494399560462861
64,840000.0,6.4244181653390795
65,860000.0,6.277132145469898
