,_step,num_samples,_runtime,-elbo,num_detected_modes
0,0,200,8.833618879318237,48.821136474609375,0
1,150,30200,13.097496271133423,30.428558349609375,0
2,300,60200,17.691389560699463,15.997261047363281,0
3,450,90200,23.899883031845093,12.382171630859375,0
4,600,120200,29.60268783569336,11.130294799804688,2
5,750,150200,38.80937886238098,10.561485290527344,5
6,900,180200,45.775962829589844,10.1510009765625,8
7,1050,210200,53.28522253036499,9.878623962402344,9
8,1200,240200,61.42857646942139,9.566673278808594,9
9,1350,270200,70.21161675453186,9.385711669921875,9
10,1500,300200,79.62958812713623,9.199867248535156,9
11,1650,330200,89.61725425720215,8.968574523925781,9
12,1800,360200,100.23991012573242,8.768524169921875,9
13,1950,390200,111.71442031860352,8.645210266113281,9
14,2100,420200,123.65553283691406,8.424758911132812,9
15,2250,450200,136.45191049575806,8.269500732421875,9
16,2400,480200,149.7776141166687,8.1131591796875,9
17,2550,510200,163.98079442977905,7.9579925537109375,9
18,2700,540200,178.73844504356384,7.775840759277344,9
19,2850,570200,194.2830593585968,7.683837890625,9
20,3000,600200,210.53256392478943,7.519020080566406,9
21,3150,630200,227.73300957679749,7.290679931640625,9
22,3300,660200,245.39935207366943,7.1378173828125,9
23,3450,690200,264.13234210014343,7.0072784423828125,9
24,3600,720200,283.50819420814514,6.859153747558594,9
25,3750,750200,303.42822647094727,6.67578125,9
26,3900,780200,324.16480135917664,6.586967468261719,9
27,4050,810200,345.7934501171112,6.37213134765625,9
28,4200,840200,368.00773882865906,6.219573974609375,9
29,4350,870200,390.82752680778503,6.070899963378906,9
30,4500,900200,414.5320975780487,5.889213562011719,9
31,4650,930200,439.34804034233093,5.785125732421875,9
32,4800,960200,465.0734694004059,5.624500274658203,9
33,4950,990200,491.510906457901,5.4931488037109375,9
34,5100,1020200,518.8047451972961,5.322265625,9
35,5250,1050200,546.4167149066925,5.190410614013672,9
36,5400,1080200,574.8640716075897,5.007465362548828,9
37,5550,1110200,604.1603531837463,4.931907653808594,9
38,5700,1140200,634.0017352104187,4.731010437011719,9
39,5850,1170200,664.3521091938019,4.502532958984375,9
40,6000,1200200,695.6340041160583,4.443855285644531,9
41,6150,1230200,727.5036873817444,4.271209716796875,9
42,6300,1260200,760.1515808105469,4.130958557128906,9
43,6450,1290200,793.3233845233917,4.019847869873047,9
44,6600,1320200,827.2211527824402,3.8400917053222656,9
45,6750,1350200,861.6213822364807,3.733356475830078,9
46,6900,1380200,896.7292647361755,3.5971946716308594,9
47,7050,1410200,932.5095281600952,3.4253387451171875,9
48,7200,1440200,968.967054605484,3.2877464294433594,9
49,7350,1470200,1006.4250640869141,3.1616783142089844,9
50,7500,1500200,1044.114818572998,3.0109825134277344,9
51,7650,1530200,1082.9861352443695,2.9033355712890625,9
52,7800,1560200,1122.4876897335052,2.8053359985351562,9
